group,cohort,rep,hic_path
RA_11,RA,1,/stg3/data1/eunice/Projects/taiji_agent/small_test/taiji-agent/data/data/RA_11_hicloops_chr22.bedpe
OA_02,OA,1,/stg3/data1/eunice/Projects/taiji_agent/small_test/taiji-agent/data/data/OA_02_hicloops_chr22.bedpe
